Tahun,Jumlah Penduduk Miskin,Kabupaten/Kota
2018,29.32,Dogiyai
2019,30.37,Dogiyai
2020,28.31,Dogiyai
2021,28.38,Dogiyai
2022,29.32,Dogiyai
2023,29.32,Dogiyai
2024,30.42,Dogiyai
2018,30.74,Dompu
2019,30.81,Dompu
2020,30.97,Dompu
2021,33.26,Dompu
2022,33.27,Dompu
2023,34.38,Dompu
2024,32.08,Dompu
2018,54.28,Donggala
2019,55.83,Donggala
2020,53.17,Donggala
2021,51.23,Donggala
2022,50.22,Donggala
2023,50.37,Donggala
2024,47.68,Donggala
2018,30.2,Empat Lawang
2019,30.68,Empat Lawang
2020,31.89,Empat Lawang
2021,34.11,Empat Lawang
2022,31.06,Empat Lawang
2023,30.78,Empat Lawang
2024,28.42,Empat Lawang
2018,66.01,Ende
2019,63.45,Ende
2020,65.22,Ende
2021,66.38,Ende
2022,63.4,Ende
2023,63.1,Ende
2024,62.37,Ende
2018,25.53,Enrekang
2019,25.4,Enrekang
2020,25.25,Enrekang
2021,26.13,Enrekang
2022,26.15,Enrekang
2023,26.97,Enrekang
2024,24.06,Enrekang
2018,18.73,Fakfak
2019,18.22,Fakfak
2020,17.72,Fakfak
2021,18.51,Fakfak
2022,18.13,Fakfak
2023,17.84,Fakfak
2024,17.67,Fakfak
2018,27.99,Flores Timur
2019,27.83,Flores Timur
2020,27.89,Flores Timur
2021,28.9,Flores Timur
2022,28.08,Flores Timur
2023,30.93,Flores Timur
2024,29.74,Flores Timur
2018,241.31,Garut
2019,235.19,Garut
2020,262.78,Garut
2021,281.36,Garut
2022,276.67,Garut
2023,260.48,Garut
2024,259.32,Garut
2018,19.09,Gayo Lues
2019,18.63,Gayo Lues
2020,18.42,Gayo Lues
2021,18.61,Gayo Lues
2022,18.09,Gayo Lues
2023,18.24,Gayo Lues
2024,17.93,Gayo Lues
2018,21.26,Gianyar
2019,19.85,Gianyar
2020,21.01,Gianyar
2021,25.36,Gianyar
2022,24.74,Gianyar
2023,23.76,Gianyar
2024,21.45,Gianyar
2018,74.69,Gorontalo
2019,68.31,Gorontalo
2020,66.73,Gorontalo
