Kabupaten/Kota,Tahun,Pengeluaran Perkapita Umbi-Umbian
Deiyai,2021,9302.59
Deiyai,2022,8174.07
Deiyai,2023,13968.02
Deiyai,2024,70819.0
Deli Serdang,2018,1310.25
Deli Serdang,2019,1503.96
Deli Serdang,2020,1596.35
Deli Serdang,2021,1560.0
Deli Serdang,2022,2095.5
Deli Serdang,2023,1839.91
Deli Serdang,2024,1811.0
Demak,2018,508.58
Demak,2019,772.93
Demak,2020,971.29
Demak,2021,1137.05
Demak,2022,1306.77
Demak,2023,1085.82
Demak,2024,814.0
Dharmasraya,2018,1977.66
Dharmasraya,2019,1786.65
Dharmasraya,2020,1777.41
Dharmasraya,2021,1893.6
Dharmasraya,2022,1736.46
Dharmasraya,2023,1968.29
Dharmasraya,2024,1916.0
Dogiyai,2018,12871.35
Dogiyai,2019,7123.22
Dogiyai,2020,8251.12
Dogiyai,2021,9070.22
Dogiyai,2022,5185.25
Dogiyai,2023,8436.92
Dogiyai,2024,79100.0
Dompu,2018,169.89
Dompu,2019,281.84
Dompu,2020,609.19
Dompu,2021,938.26
Dompu,2022,660.31
Dompu,2023,752.4
Dompu,2024,590.0
Donggala,2018,1071.53
Donggala,2019,1065.34
Donggala,2020,1050.92
Donggala,2021,1208.86
Donggala,2022,1358.28
Donggala,2023,1684.48
Donggala,2024,1357.0
Empat Lawang,2018,934.03
Empat Lawang,2019,795.99
Empat Lawang,2020,777.87
Empat Lawang,2021,1143.33
Empat Lawang,2022,1111.2
Empat Lawang,2023,1464.14
Empat Lawang,2024,1008.0
Ende,2018,2764.2
Ende,2019,2154.09
Ende,2020,2284.12
Ende,2021,3090.39
Ende,2022,4095.9
Ende,2023,3823.05
Ende,2024,2698.0
Enrekang,2018,1109.29
Enrekang,2019,1024.44
Enrekang,2020,1165.58
Enrekang,2021,1314.22
Enrekang,2022,1183.92
Enrekang,2023,1375.27
Enrekang,2024,1464.0
Fakfak,2018,3329.92
Fakfak,2019,2774.32
Fakfak,2020,4468.87
Fakfak,2021,6551.92
Fakfak,2022,7097.43
Fakfak,2023,4977.82
Fakfak,2024,4628.0
Flores Timur,2018,970.59
Flores Timur,2019,770.52
Flores Timur,2020,546.77
Flores Timur,2021,696.87
Flores Timur,2022,1415.08
Flores Timur,2023,1478.43
Flores Timur,2024,925.0
Garut,2018,1082.79
Garut,2019,946.41
Garut,2020,1050.71
Garut,2021,1429.66
Garut,2022,1427.8
Garut,2023,1734.13
Garut,2024,1437.0
Gayo Lues,2018,1375.48
Gayo Lues,2019,1668.55
Gayo Lues,2020,1557.82
Gayo Lues,2021,2419.62
Gayo Lues,2022,2104.71
Gayo Lues,2023,2016.11
Gayo Lues,2024,2201.0
Gianyar,2018,512.67
Gianyar,2019,779.33
Gianyar,2020,1033.72
Gianyar,2021,1614.35
Gianyar,2022,927.29
Gianyar,2023,1141.7
Gianyar,2024,1489.0
Gorontalo,2018,817.7
Gorontalo,2019,625.01
Gorontalo,2020,875.79
Gorontalo,2021,1471.03
Gorontalo,2022,1108.08
Gorontalo,2023,1098.48
Gorontalo,2024,907.0
Gorontalo Utara,2018,376.31
Gorontalo Utara,2019,476.51
Gorontalo Utara,2020,642.23
Gorontalo Utara,2021,1325.17
Gorontalo Utara,2022,908.84
Gorontalo Utara,2023,1375.23
Gorontalo Utara,2024,724.0
Gowa,2018,841.31
Gowa,2019,865.02
Gowa,2020,1088.63
Gowa,2021,1455.68
Gowa,2022,1134.86
Gowa,2023,1343.87
Gowa,2024,1247.0
Gresik,2018,766.43
Gresik,2019,805.17
Gresik,2020,887.63
Gresik,2021,1238.38
Gresik,2022,1276.46
Gresik,2023,1671.2
Gresik,2024,1526.0
Grobogan,2018,472.05
Grobogan,2019,458.45
Grobogan,2020,587.94
Grobogan,2021,675.28
Grobogan,2022,973.31
Grobogan,2023,1003.03
Grobogan,2024,1104.0
Gunung Kidul,2018,728.53
Gunung Kidul,2019,772.21
Gunung Kidul,2020,777.52
Gunung Kidul,2021,1253.75
Gunung Kidul,2022,1095.56
Gunung Kidul,2023,927.87
Gunung Kidul,2024,1251.0
Gunung Mas,2018,930.18
Gunung Mas,2019,1578.53
Gunung Mas,2020,1088.83
Gunung Mas,2021,1189.11
Gunung Mas,2022,1434.86
Gunung Mas,2023,1785.57
Gunung Mas,2024,1427.0
Halmahera Barat,2018,3488.09
Halmahera Barat,2019,2817.37
Halmahera Barat,2020,2553.9
Halmahera Barat,2021,3068.1
Halmahera Barat,2022,3229.45
Halmahera Barat,2023,4141.98
Halmahera Barat,2024,3372.0
Halmahera Selatan,2018,3481.21
Halmahera Selatan,2019,2997.14
Halmahera Selatan,2020,2996.71
Halmahera Selatan,2021,3204.79
Halmahera Selatan,2022,2180.52
Halmahera Selatan,2023,2958.74
Halmahera Selatan,2024,3231.0
Halmahera Tengah,2018,3198.47
Halmahera Tengah,2019,4445.98
Halmahera Tengah,2020,5166.72
Halmahera Tengah,2021,4684.77
Halmahera Tengah,2022,3411.56
Halmahera Tengah,2023,4734.93
Halmahera Tengah,2024,4111.0
Halmahera Timur,2018,3204.13
Halmahera Timur,2019,3014.81
Halmahera Timur,2020,4092.55
Halmahera Timur,2021,3558.93
Halmahera Timur,2022,2723.52
Halmahera Timur,2023,4428.28
Halmahera Timur,2024,4625.0
Halmahera Utara,2018,2204.73
Halmahera Utara,2019,2323.05
Halmahera Utara,2020,2215.25
Halmahera Utara,2021,3346.35
Halmahera Utara,2022,3377.23
Halmahera Utara,2023,3390.14
Halmahera Utara,2024,4598.0
Hulu Sungai Selatan,2018,361.38
Hulu Sungai Selatan,2019,502.7
Hulu Sungai Selatan,2020,442.47
Hulu Sungai Selatan,2021,509.43
Hulu Sungai Selatan,2022,577.39
Hulu Sungai Selatan,2023,456.44
Hulu Sungai Selatan,2024,441.0
Hulu Sungai Tengah,2018,371.1
Hulu Sungai Tengah,2019,335.21
