Kabupaten/Kota,Tahun,Pengeluaran Perkapita Telur dan Susu
Buru,2021,5059.5
Buru,2022,4382.29
Buru,2023,4517.41
Buru,2024,4474.0
Buru Selatan,2018,2245.24
Buru Selatan,2019,3139.61
Buru Selatan,2020,2742.22
Buru Selatan,2021,3556.61
Buru Selatan,2022,2954.6
Buru Selatan,2023,3686.22
Buru Selatan,2024,3015.0
Buton,2018,3511.49
Buton,2019,3646.05
Buton,2020,4752.98
Buton,2021,4379.26
Buton,2022,3734.38
Buton,2023,5567.58
Buton,2024,5018.0
Buton Selatan,2018,1842.95
Buton Selatan,2019,2934.63
Buton Selatan,2020,3950.23
Buton Selatan,2021,4971.2
Buton Selatan,2022,2985.12
Buton Selatan,2023,4220.58
Buton Selatan,2024,4576.0
Buton Tengah,2018,5946.04
Buton Tengah,2019,3498.77
Buton Tengah,2020,5716.77
Buton Tengah,2021,6566.88
Buton Tengah,2022,4033.73
Buton Tengah,2023,3456.47
Buton Tengah,2024,2869.0
Buton Utara,2018,5000.66
Buton Utara,2019,4558.86
Buton Utara,2020,5128.78
Buton Utara,2021,4920.51
Buton Utara,2022,5141.39
Buton Utara,2023,4653.26
Buton Utara,2024,6081.0
Ciamis,2018,5812.97
Ciamis,2019,6416.97
Ciamis,2020,6271.67
Ciamis,2021,7017.18
Ciamis,2022,7984.67
Ciamis,2023,8043.34
Ciamis,2024,8068.0
Cianjur,2018,5096.17
Cianjur,2019,5160.46
Cianjur,2020,5449.5
Cianjur,2021,5509.96
Cianjur,2022,5032.21
Cianjur,2023,6348.41
Cianjur,2024,6672.0
Cilacap,2018,6137.29
Cilacap,2019,6340.78
Cilacap,2020,5568.26
Cilacap,2021,5700.16
Cilacap,2022,5571.68
Cilacap,2023,6777.05
Cilacap,2024,6896.0
Cirebon,2018,5565.35
Cirebon,2019,5389.02
Cirebon,2020,6524.37
Cirebon,2021,5997.81
Cirebon,2022,7302.65
Cirebon,2023,8321.95
Cirebon,2024,7805.0
Dairi,2018,7220.63
Dairi,2019,7747.09
Dairi,2020,8249.41
Dairi,2021,7038.32
Dairi,2022,7425.82
Dairi,2023,9007.72
Dairi,2024,8995.0
Deiyai,2018,3770.98
Deiyai,2019,4371.87
Deiyai,2020,10050.63
Deiyai,2021,6076.89
Deiyai,2022,5858.76
Deiyai,2023,5107.89
Deiyai,2024,2505.0
Deli Serdang,2018,8591.31
Deli Serdang,2019,7733.88
Deli Serdang,2020,9361.14
Deli Serdang,2021,8987.76
Deli Serdang,2022,9227.54
Deli Serdang,2023,7743.23
Deli Serdang,2024,9335.0
Demak,2018,6475.45
Demak,2019,6259.24
Demak,2020,6737.13
Demak,2021,6185.3
Demak,2022,7237.63
Demak,2023,8138.89
Demak,2024,7401.0
Dharmasraya,2018,7334.7
Dharmasraya,2019,6927.25
Dharmasraya,2020,8044.85
Dharmasraya,2021,8374.38
Dharmasraya,2022,8026.97
Dharmasraya,2023,9632.4
Dharmasraya,2024,10230.0
Dogiyai,2018,2096.48
Dogiyai,2019,1885.09
Dogiyai,2020,2274.21
Dogiyai,2021,2753.24
Dogiyai,2022,3087.88
Dogiyai,2023,5208.66
Dogiyai,2024,1447.0
Dompu,2018,3767.84
Dompu,2019,3910.4
Dompu,2020,5144.59
Dompu,2021,5337.29
Dompu,2022,4095.19
Dompu,2023,4014.95
Dompu,2024,5289.0
Donggala,2018,3054.26
Donggala,2019,4041.15
Donggala,2020,4032.49
Donggala,2021,4565.78
Donggala,2022,4562.28
Donggala,2023,4510.25
Donggala,2024,4592.0
Empat Lawang,2018,4465.91
Empat Lawang,2019,4179.91
Empat Lawang,2020,6054.24
Empat Lawang,2021,4662.95
Empat Lawang,2022,4279.0
Empat Lawang,2023,5070.69
Empat Lawang,2024,4705.0
Ende,2018,4138.54
Ende,2019,4615.93
Ende,2020,5568.03
Ende,2021,5031.63
Ende,2022,5289.27
Ende,2023,4774.95
Ende,2024,4953.0
Enrekang,2018,6200.12
Enrekang,2019,5347.09
Enrekang,2020,7537.61
Enrekang,2021,7046.32
Enrekang,2022,6021.59
Enrekang,2023,8139.63
Enrekang,2024,7425.0
Fakfak,2018,7167.93
Fakfak,2019,9160.23
Fakfak,2020,10330.93
Fakfak,2021,9986.46
Fakfak,2022,9130.7
Fakfak,2023,8270.25
Fakfak,2024,8967.0
Flores Timur,2018,3457.47
Flores Timur,2019,3441.69
Flores Timur,2020,3850.25
Flores Timur,2021,3611.49
Flores Timur,2022,4529.96
Flores Timur,2023,4297.74
Flores Timur,2024,4528.0
Garut,2018,5828.78
Garut,2019,5564.28
Garut,2020,6957.3
Garut,2021,5635.4
Garut,2022,6124.05
Garut,2023,6998.46
Garut,2024,7354.0
Gayo Lues,2018,6397.22
Gayo Lues,2019,6904.71
Gayo Lues,2020,7123.21
Gayo Lues,2021,7099.33
Gayo Lues,2022,5866.38
Gayo Lues,2023,6390.25
Gayo Lues,2024,6687.0
Gianyar,2018,5874.33
Gianyar,2019,6590.33
Gianyar,2020,7903.55
Gianyar,2021,7674.85
Gianyar,2022,7748.64
Gianyar,2023,8001.83
Gianyar,2024,8928.0
Gorontalo,2018,3725.03
Gorontalo,2019,4198.87
Gorontalo,2020,4970.46
Gorontalo,2021,6028.03
Gorontalo,2022,4973.9
Gorontalo,2023,6768.44
Gorontalo,2024,5618.0
Gorontalo Utara,2018,3738.08
Gorontalo Utara,2019,3301.4
Gorontalo Utara,2020,5092.17
Gorontalo Utara,2021,4274.32
Gorontalo Utara,2022,5256.86
Gorontalo Utara,2023,4585.15
Gorontalo Utara,2024,5491.0
Gowa,2018,5938.5
Gowa,2019,5135.7
Gowa,2020,7071.58
Gowa,2021,7778.96
Gowa,2022,7456.58
Gowa,2023,6894.48
Gowa,2024,7230.0
Gresik,2018,8493.61
Gresik,2019,7094.01
Gresik,2020,7671.87
Gresik,2021,9819.0
Gresik,2022,8834.78
Gresik,2023,10985.05
Gresik,2024,11481.0
Grobogan,2018,4738.01
Grobogan,2019,5278.97
Grobogan,2020,5693.21
Grobogan,2021,4625.34
Grobogan,2022,6344.61
Grobogan,2023,6541.07
Grobogan,2024,6896.0
Gunung Kidul,2018,5991.79
Gunung Kidul,2019,5933.02
Gunung Kidul,2020,6543.94
Gunung Kidul,2021,6405.26
Gunung Kidul,2022,6209.77
Gunung Kidul,2023,6310.42
Gunung Kidul,2024,8518.0
Gunung Mas,2018,7890.02
Gunung Mas,2019,8557.34
Gunung Mas,2020,9595.08
Gunung Mas,2021,9166.81
Gunung Mas,2022,9501.48
Gunung Mas,2023,9969.64
Gunung Mas,2024,11528.0
Halmahera Barat,2018,3347.44
Halmahera Barat,2019,4884.72
Halmahera Barat,2020,5159.13
Halmahera Barat,2021,4667.19
Halmahera Barat,2022,4414.87
Halmahera Barat,2023,4552.49
Halmahera Barat,2024,4933.0
Halmahera Selatan,2018,3100.32
Halmahera Selatan,2019,3388.4
Halmahera Selatan,2020,3105.66
Halmahera Selatan,2021,4335.82
Halmahera Selatan,2022,3907.91
Halmahera Selatan,2023,5076.89
Halmahera Selatan,2024,5145.0
Halmahera Tengah,2018,4530.61
Halmahera Tengah,2019,5266.47
Halmahera Tengah,2020,5788.13
Halmahera Tengah,2021,3821.08
Halmahera Tengah,2022,4283.53
Halmahera Tengah,2023,6045.19
Halmahera Tengah,2024,6706.0
Halmahera Timur,2018,5511.35
Halmahera Timur,2019,4608.08
Halmahera Timur,2020,6155.39
Halmahera Timur,2021,5253.96
Halmahera Timur,2022,5383.42
Halmahera Timur,2023,6115.71
Halmahera Timur,2024,5997.0
Halmahera Utara,2018,4333.87
Halmahera Utara,2019,3949.2
Halmahera Utara,2020,4731.99
Halmahera Utara,2021,6061.46
Halmahera Utara,2022,6818.2
Halmahera Utara,2023,4692.52
Halmahera Utara,2024,6002.0
Hulu Sungai Selatan,2018,6185.19
Hulu Sungai Selatan,2019,6953.05
Hulu Sungai Selatan,2020,7031.53
Hulu Sungai Selatan,2021,7901.54
Hulu Sungai Selatan,2022,7296.32
Hulu Sungai Selatan,2023,6533.65
Hulu Sungai Selatan,2024,6958.0
Hulu Sungai Tengah,2018,6235.42
Hulu Sungai Tengah,2019,6316.41
Hulu Sungai Tengah,2020,6485.59
Hulu Sungai Tengah,2021,7623.79
Hulu Sungai Tengah,2022,5911.51
Hulu Sungai Tengah,2023,7441.0
Hulu Sungai Tengah,2024,6903.0
Hulu Sungai Utara,2018,7441.97
Hulu Sungai Utara,2019,7011.6
Hulu Sungai Utara,2020,5985.1
Hulu Sungai Utara,2021,9002.72
Hulu Sungai Utara,2022,9060.76
Hulu Sungai Utara,2023,7956.97
Hulu Sungai Utara,2024,8616.0
Humbang Hasundutan,2018,6917.9
Humbang Hasundutan,2019,5814.74
Humbang Hasundutan,2020,6781.37
Humbang Hasundutan,2021,8562.22
Humbang Hasundutan,2022,7875.54
Humbang Hasundutan,2023,8610.54
Humbang Hasundutan,2024,10228.0
Indragiri Hilir,2018,6643.08
Indragiri Hilir,2019,7493.14
Indragiri Hilir,2020,7264.49
Indragiri Hilir,2021,8064.11
Indragiri Hilir,2022,7235.97
Indragiri Hilir,2023,8885.34
Indragiri Hilir,2024,8770.0
Indragiri Hulu,2018,7749.14
Indragiri Hulu,2019,8184.28
Indragiri Hulu,2020,7991.81
Indragiri Hulu,2021,8445.62
Indragiri Hulu,2022,7682.04
Indragiri Hulu,2023,9824.82
Indragiri Hulu,2024,8402.0
Indramayu,2018,5716.63
Indramayu,2019,6327.19
Indramayu,2020,6457.28
Indramayu,2021,7951.82
Indramayu,2022,7757.53
Indramayu,2023,9209.63
Indramayu,2024,8082.0
Intan Jaya,2018,7549.65
Intan Jaya,2019,7091.76
Intan Jaya,2020,13316.2
Intan Jaya,2021,8892.25
Intan Jaya,2022,8990.86
Intan Jaya,2023,14168.3
Intan Jaya,2024,18058.0
Jayapura,2018,6361.74
Jayapura,2019,9318.73
Jayapura,2020,6794.4
Jayapura,2021,9206.63
Jayapura,2022,9188.67
Jayapura,2023,12029.59
Jayapura,2024,7116.0
Jayawijaya,2018,6191.75
Jayawijaya,2019,7569.63
Jayawijaya,2020,6778.92
Jayawijaya,2021,7443.54
Jayawijaya,2022,8828.43
Jayawijaya,2023,5944.01
Jayawijaya,2024,6441.0
Jember,2018,5705.45
Jember,2019,4859.69
Jember,2020,5710.52
Jember,2021,5305.53
Jember,2022,4564.76
Jember,2023,6250.04
Jember,2024,6553.0
Jembrana,2018,5970.25
Jembrana,2019,5508.16
Jembrana,2020,6857.1
Jembrana,2021,6267.73
Jembrana,2022,5537.38
Jembrana,2023,6247.44
Jembrana,2024,6723.0
Jeneponto,2018,4801.89
Jeneponto,2019,4465.97
Jeneponto,2020,5394.42
Jeneponto,2021,5353.09
Jeneponto,2022,4696.29
Jeneponto,2023,4384.6
Jeneponto,2024,3809.0
