Kabupaten/Kota,Tahun,Rata-rata Lama Sekolah_Laki-laki,Rata-rata Lama Sekolah_Perempuan
Buton Utara,2020,9.6,8.24
Buton Utara,2021,9.61,8.25
Buton Utara,2022,9.71,8.5
Buton Utara,2023,9.72,8.51
Buton Utara,2024,9.8,8.73
Ciamis,2018,7.93,7.31
Ciamis,2019,7.94,7.51
Ciamis,2020,7.95,7.52
Ciamis,2021,8.2,7.63
Ciamis,2022,8.21,7.84
Ciamis,2023,8.31,7.89
Ciamis,2024,8.32,7.9
Cianjur,2018,7.2,6.48
Cianjur,2019,7.27,6.52
Cianjur,2020,7.49,6.71
Cianjur,2021,7.5,6.72
Cianjur,2022,7.51,6.73
Cianjur,2023,7.53,6.75
Cianjur,2024,7.54,6.93
Cilacap,2018,7.41,6.45
Cilacap,2019,7.42,6.47
Cilacap,2020,7.46,6.49
Cilacap,2021,7.47,6.76
Cilacap,2022,7.66,6.77
Cilacap,2023,7.87,6.97
Cilacap,2024,7.88,6.98
Cirebon,2018,7.17,6.29
Cirebon,2019,7.26,6.36
Cirebon,2020,7.43,6.63
Cirebon,2021,7.62,6.66
Cirebon,2022,7.81,6.97
Cirebon,2023,8.06,7.21
Cirebon,2024,8.07,7.22
Dairi,2018,9.67,8.88
Dairi,2019,9.71,9.1
Dairi,2020,9.82,9.34
Dairi,2021,9.83,9.39
Dairi,2022,9.91,9.66
Dairi,2023,9.92,9.87
Dairi,2024,9.93,9.88
Deiyai,2018,3.94,1.71
Deiyai,2019,3.95,1.72
Deiyai,2020,3.96,1.8
Deiyai,2021,4.21,1.81
Deiyai,2022,4.22,1.82
Deiyai,2023,4.4,1.83
Deiyai,2024,4.41,1.85
Deli Serdang,2018,10.43,9.71
Deli Serdang,2019,10.6,9.73
Deli Serdang,2020,10.61,9.74
Deli Serdang,2021,10.62,9.77
Deli Serdang,2022,10.64,10.02
Deli Serdang,2023,10.65,10.14
Deli Serdang,2024,10.66,10.28
Demak,2018,8.26,6.82
Demak,2019,8.27,6.91
Demak,2020,8.28,7.22
Demak,2021,8.31,7.42
Demak,2022,8.51,7.69
Demak,2023,8.79,7.78
Demak,2024,8.82,7.79
Dharmasraya,2018,8.67,8.23
Dharmasraya,2019,8.82,8.44
Dharmasraya,2020,8.83,8.45
Dharmasraya,2021,8.93,8.5
Dharmasraya,2022,8.94,8.54
Dharmasraya,2023,8.95,8.7
Dharmasraya,2024,8.97,8.98
Dogiyai,2018,5.39,4.07
