Kabupaten/Kota,Tahun,Pengeluaran Perkapita Kacang-Kacangan
Enrekang,2021,3588.01
Enrekang,2022,3369.0
Enrekang,2023,3513.78
Enrekang,2024,4420.0
Fakfak,2018,1878.09
Fakfak,2019,2203.2
Fakfak,2020,2419.22
Fakfak,2021,1998.02
Fakfak,2022,2497.21
Fakfak,2023,2010.5
Fakfak,2024,2172.0
Flores Timur,2018,726.87
Flores Timur,2019,1121.95
Flores Timur,2020,1051.91
Flores Timur,2021,1247.3
Flores Timur,2022,1300.23
Flores Timur,2023,1470.85
Flores Timur,2024,1128.0
Garut,2018,3024.18
Garut,2019,2609.13
Garut,2020,3375.84
Garut,2021,3126.44
Garut,2022,2884.9
Garut,2023,3472.24
Garut,2024,3531.0
Gayo Lues,2018,1493.1
Gayo Lues,2019,1880.17
Gayo Lues,2020,1736.5
Gayo Lues,2021,2002.71
Gayo Lues,2022,1973.6
Gayo Lues,2023,1953.77
Gayo Lues,2024,2239.0
Gianyar,2018,2333.23
Gianyar,2019,2734.91
Gianyar,2020,2433.93
Gianyar,2021,3204.38
Gianyar,2022,3442.61
Gianyar,2023,3994.31
Gianyar,2024,3632.0
Gorontalo,2018,1303.05
Gorontalo,2019,1302.96
Gorontalo,2020,1472.7
Gorontalo,2021,1926.7
Gorontalo,2022,1970.56
Gorontalo,2023,1868.66
Gorontalo,2024,1997.0
Gorontalo Utara,2018,758.45
Gorontalo Utara,2019,948.04
Gorontalo Utara,2020,1004.06
Gorontalo Utara,2021,1369.57
Gorontalo Utara,2022,1245.49
Gorontalo Utara,2023,1939.56
Gorontalo Utara,2024,1691.0
Gowa,2018,1555.69
Gowa,2019,1485.06
Gowa,2020,2020.63
Gowa,2021,2087.03
Gowa,2022,1669.95
Gowa,2023,2104.23
Gowa,2024,2360.0
Gresik,2018,3438.1
Gresik,2019,3348.71
Gresik,2020,3137.48
Gresik,2021,3690.25
Gresik,2022,3437.71
Gresik,2023,4319.54
Gresik,2024,4521.0
Grobogan,2018,2887.31
Grobogan,2019,2730.24
Grobogan,2020,2896.34
Grobogan,2021,3201.64
Grobogan,2022,3717.64
Grobogan,2023,4292.45
Grobogan,2024,4217.0
Gunung Kidul,2018,3609.92
Gunung Kidul,2019,3527.98
Gunung Kidul,2020,3463.9
Gunung Kidul,2021,3991.72
Gunung Kidul,2022,3840.05
Gunung Kidul,2023,4748.46
Gunung Kidul,2024,4691.0
Gunung Mas,2018,1568.99
Gunung Mas,2019,1767.72
Gunung Mas,2020,1444.82
Gunung Mas,2021,1733.09
Gunung Mas,2022,2130.09
Gunung Mas,2023,2397.52
Gunung Mas,2024,2238.0
Halmahera Barat,2018,992.02
Halmahera Barat,2019,1025.85
Halmahera Barat,2020,1619.15
Halmahera Barat,2021,1568.98
Halmahera Barat,2022,1414.15
Halmahera Barat,2023,1657.78
Halmahera Barat,2024,1541.0
Halmahera Selatan,2018,489.9
Halmahera Selatan,2019,437.04
Halmahera Selatan,2020,598.23
Halmahera Selatan,2021,691.71
Halmahera Selatan,2022,731.51
Halmahera Selatan,2023,884.74
Halmahera Selatan,2024,964.0
Halmahera Tengah,2018,1386.08
Halmahera Tengah,2019,1513.9
Halmahera Tengah,2020,1756.25
Halmahera Tengah,2021,861.67
Halmahera Tengah,2022,1262.04
Halmahera Tengah,2023,1803.68
Halmahera Tengah,2024,1774.0
Halmahera Timur,2018,2107.21
Halmahera Timur,2019,1614.34
Halmahera Timur,2020,1881.94
Halmahera Timur,2021,2318.8
Halmahera Timur,2022,1848.06
Halmahera Timur,2023,2528.42
Halmahera Timur,2024,2684.0
Halmahera Utara,2018,1017.97
Halmahera Utara,2019,825.32
Halmahera Utara,2020,965.95
Halmahera Utara,2021,1709.8
Halmahera Utara,2022,1377.96
Halmahera Utara,2023,1687.56
Halmahera Utara,2024,1646.0
Hulu Sungai Selatan,2018,1448.1
Hulu Sungai Selatan,2019,1575.8
Hulu Sungai Selatan,2020,1691.33
Hulu Sungai Selatan,2021,2036.71
Hulu Sungai Selatan,2022,1816.07
Hulu Sungai Selatan,2023,1810.98
Hulu Sungai Selatan,2024,2479.0
Hulu Sungai Tengah,2018,1555.54
Hulu Sungai Tengah,2019,1685.71
Hulu Sungai Tengah,2020,1592.54
Hulu Sungai Tengah,2021,2332.79
Hulu Sungai Tengah,2022,2305.38
Hulu Sungai Tengah,2023,2745.37
Hulu Sungai Tengah,2024,2419.0
Hulu Sungai Utara,2018,1319.04
Hulu Sungai Utara,2019,1123.21
Hulu Sungai Utara,2020,1336.49
Hulu Sungai Utara,2021,1542.89
Hulu Sungai Utara,2022,1765.04
Hulu Sungai Utara,2023,1660.57
Hulu Sungai Utara,2024,1851.0
Humbang Hasundutan,2018,1552.15
Humbang Hasundutan,2019,1375.43
Humbang Hasundutan,2020,1787.08
Humbang Hasundutan,2021,1905.77
Humbang Hasundutan,2022,2065.88
Humbang Hasundutan,2023,2352.35
Humbang Hasundutan,2024,2375.0
Indragiri Hilir,2018,1795.59
Indragiri Hilir,2019,1698.94
Indragiri Hilir,2020,1879.6
Indragiri Hilir,2021,2143.0
Indragiri Hilir,2022,2006.91
Indragiri Hilir,2023,2175.61
Indragiri Hilir,2024,2099.0
Indragiri Hulu,2018,2125.51
Indragiri Hulu,2019,2179.06
Indragiri Hulu,2020,2244.68
Indragiri Hulu,2021,2537.55
Indragiri Hulu,2022,2382.8
Indragiri Hulu,2023,3126.07
Indragiri Hulu,2024,2708.0
Indramayu,2018,3684.19
Indramayu,2019,3349.51
Indramayu,2020,3822.02
Indramayu,2021,4056.33
Indramayu,2022,4056.0
Indramayu,2023,4774.32
Indramayu,2024,4659.0
Intan Jaya,2018,3206.23
Intan Jaya,2019,2757.52
Intan Jaya,2020,8197.57
Intan Jaya,2021,554.35
Intan Jaya,2022,720.62
Intan Jaya,2023,4438.53
Intan Jaya,2024,4887.0
Jayapura,2018,3270.61
Jayapura,2019,2719.54
Jayapura,2020,2778.82
Jayapura,2021,3564.82
Jayapura,2022,3613.54
Jayapura,2023,5163.67
Jayapura,2024,2280.0
Jayawijaya,2018,2484.73
Jayawijaya,2019,3671.15
Jayawijaya,2020,3546.84
Jayawijaya,2021,2568.06
Jayawijaya,2022,3945.01
Jayawijaya,2023,4797.91
Jayawijaya,2024,2253.0
Jember,2018,3509.21
Jember,2019,3411.66
Jember,2020,3574.16
Jember,2021,4261.76
Jember,2022,4365.29
Jember,2023,5008.97
Jember,2024,5135.0
Jembrana,2018,2636.78
Jembrana,2019,2538.46
Jembrana,2020,2763.15
Jembrana,2021,3096.04
Jembrana,2022,3067.49
Jembrana,2023,3430.69
Jembrana,2024,3165.0
Jeneponto,2018,1509.67
Jeneponto,2019,1442.99
Jeneponto,2020,1637.14
Jeneponto,2021,1789.85
Jeneponto,2022,2037.71
Jeneponto,2023,2044.94
Jeneponto,2024,1718.0
Jepara,2018,2560.9
Jepara,2019,2512.64
Jepara,2020,2147.2
Jepara,2021,2950.81
Jepara,2022,3473.49
