Kabupaten/Kota,Tahun,Pengeluaran Perkapita Padi-Padian
Garut,2022,17943.2
Garut,2023,19451.91
Garut,2024,24192.0
Gayo Lues,2018,23180.87
Gayo Lues,2019,25216.49
Gayo Lues,2020,24348.07
Gayo Lues,2021,26973.11
Gayo Lues,2022,28381.89
Gayo Lues,2023,28785.46
Gayo Lues,2024,33304.0
Gianyar,2018,17140.02
Gianyar,2019,16619.52
Gianyar,2020,19514.8
Gianyar,2021,21821.29
Gianyar,2022,20050.25
Gianyar,2023,22873.66
Gianyar,2024,26953.0
Gorontalo,2018,13587.99
Gorontalo,2019,14779.2
Gorontalo,2020,15760.39
Gorontalo,2021,16244.86
Gorontalo,2022,17758.55
Gorontalo,2023,19458.3
Gorontalo,2024,23741.0
Gorontalo Utara,2018,15614.22
Gorontalo Utara,2019,14858.97
Gorontalo Utara,2020,15731.39
Gorontalo Utara,2021,17790.05
Gorontalo Utara,2022,19010.61
Gorontalo Utara,2023,23285.49
Gorontalo Utara,2024,26240.0
Gowa,2018,15366.1
Gowa,2019,13624.03
Gowa,2020,17228.22
Gowa,2021,16731.43
Gowa,2022,15809.24
Gowa,2023,17861.51
Gowa,2024,20337.0
Gresik,2018,14436.31
Gresik,2019,13638.5
Gresik,2020,13772.71
Gresik,2021,14641.88
Gresik,2022,16005.81
Gresik,2023,16254.44
Gresik,2024,20469.0
Grobogan,2018,11508.53
Grobogan,2019,13404.88
Grobogan,2020,13313.13
Grobogan,2021,13196.41
Grobogan,2022,14122.76
Grobogan,2023,15235.6
Grobogan,2024,19284.0
Gunung Kidul,2018,13533.2
Gunung Kidul,2019,16376.96
Gunung Kidul,2020,16174.77
Gunung Kidul,2021,17079.15
Gunung Kidul,2022,15893.1
Gunung Kidul,2023,18235.3
Gunung Kidul,2024,21801.0
Gunung Mas,2018,18870.95
Gunung Mas,2019,17980.42
Gunung Mas,2020,18806.82
Gunung Mas,2021,20333.77
Gunung Mas,2022,18585.97
Gunung Mas,2023,21359.75
Gunung Mas,2024,25044.0
Halmahera Barat,2018,20815.06
Halmahera Barat,2019,21927.16
Halmahera Barat,2020,22006.74
Halmahera Barat,2021,22979.32
Halmahera Barat,2022,21304.7
Halmahera Barat,2023,28953.95
Halmahera Barat,2024,28460.0
Halmahera Selatan,2018,18550.0
Halmahera Selatan,2019,19326.54
Halmahera Selatan,2020,18048.71
Halmahera Selatan,2021,18336.75
Halmahera Selatan,2022,20828.56
Halmahera Selatan,2023,25360.06
Halmahera Selatan,2024,29420.0
Halmahera Tengah,2018,18073.52
Halmahera Tengah,2019,17569.34
Halmahera Tengah,2020,17117.79
Halmahera Tengah,2021,17739.38
Halmahera Tengah,2022,18548.55
Halmahera Tengah,2023,24722.02
Halmahera Tengah,2024,28533.0
Halmahera Timur,2018,17081.24
Halmahera Timur,2019,16612.18
Halmahera Timur,2020,16494.26
Halmahera Timur,2021,17842.32
Halmahera Timur,2022,19756.45
Halmahera Timur,2023,19934.86
Halmahera Timur,2024,22700.0
Halmahera Utara,2018,16776.86
Halmahera Utara,2019,16633.68
Halmahera Utara,2020,18002.42
Halmahera Utara,2021,20534.93
Halmahera Utara,2022,19815.02
Halmahera Utara,2023,19694.61
Halmahera Utara,2024,24049.0
Hulu Sungai Selatan,2018,13772.97
Hulu Sungai Selatan,2019,13649.18
Hulu Sungai Selatan,2020,14669.7
Hulu Sungai Selatan,2021,17083.35
Hulu Sungai Selatan,2022,17481.24
Hulu Sungai Selatan,2023,23550.72
Hulu Sungai Selatan,2024,23194.0
Hulu Sungai Tengah,2018,13661.5
Hulu Sungai Tengah,2019,13825.95
Hulu Sungai Tengah,2020,15282.19
Hulu Sungai Tengah,2021,16861.94
Hulu Sungai Tengah,2022,16804.06
Hulu Sungai Tengah,2023,22581.89
Hulu Sungai Tengah,2024,21884.0
Hulu Sungai Utara,2018,14478.88
Hulu Sungai Utara,2019,13190.25
Hulu Sungai Utara,2020,13572.25
