Kabupaten/Kota,Tahun,Persentase Penduduk Miskin
Humbang Hasundutan,2021,9.65
Humbang Hasundutan,2022,8.86
Humbang Hasundutan,2023,8.69
Humbang Hasundutan,2024,8.44
Indragiri Hilir,2018,7.05
Indragiri Hilir,2019,6.54
Indragiri Hilir,2020,5.93
Indragiri Hilir,2021,6.18
Indragiri Hilir,2022,5.98
Indragiri Hilir,2023,5.64
Indragiri Hilir,2024,5.66
Indragiri Hulu,2018,6.3
Indragiri Hulu,2019,6.06
Indragiri Hulu,2020,5.96
Indragiri Hulu,2021,6.18
Indragiri Hulu,2022,6.14
Indragiri Hulu,2023,6.06
Indragiri Hulu,2024,6.02
Indramayu,2018,11.89
Indramayu,2019,11.11
Indramayu,2020,12.7
Indramayu,2021,13.04
Indramayu,2022,12.77
Indramayu,2023,12.13
Indramayu,2024,11.93
Intan Jaya,2018,42.71
Intan Jaya,2019,42.92
Intan Jaya,2020,40.71
Intan Jaya,2021,41.66
Intan Jaya,2022,42.03
Intan Jaya,2023,40.01
Intan Jaya,2024,41.42
Jayapura,2018,13.44
Jayapura,2019,13.13
Jayapura,2020,12.44
Jayapura,2021,12.13
Jayapura,2022,11.94
Jayapura,2023,11.45
Jayapura,2024,11.6
Jayawijaya,2018,38.66
Jayawijaya,2019,38.33
Jayawijaya,2020,37.22
Jayawijaya,2021,37.09
Jayawijaya,2022,35.8
Jayawijaya,2023,34.71
Jayawijaya,2024,32.28
Jember,2018,9.98
Jember,2019,9.25
Jember,2020,10.09
Jember,2021,10.41
Jember,2022,9.39
Jember,2023,9.51
Jember,2024,9.01
Jembrana,2018,5.2
Jembrana,2019,4.88
Jembrana,2020,4.51
Jembrana,2021,5.06
Jembrana,2022,5.3
Jembrana,2023,4.96
Jembrana,2024,4.51
Jeneponto,2018,15.48
Jeneponto,2019,14.88
Jeneponto,2020,14.58
Jeneponto,2021,14.28
Jeneponto,2022,13.73
Jeneponto,2023,13.06
Jeneponto,2024,11.82
Jepara,2018,7.0
Jepara,2019,6.66
Jepara,2020,7.17
Jepara,2021,7.44
Jepara,2022,6.88
Jepara,2023,6.61
Jepara,2024,6.09
Jombang,2018,9.56
Jombang,2019,9.22
Jombang,2020,9.94
Jombang,2021,10.0
Jombang,2022,9.04
Jombang,2023,9.15
Jombang,2024,8.6
Kaimana,2018,16.65
Kaimana,2019,16.11
Kaimana,2020,15.5
Kaimana,2021,16.04
Kaimana,2022,15.29
Kaimana,2023,14.57
Kaimana,2024,14.41
Kampar,2018,8.18
Kampar,2019,7.71
Kampar,2020,7.38
Kampar,2021,7.82
Kampar,2022,7.12
Kampar,2023,7.04
Kampar,2024,6.92
Kapuas,2018,5.2
Kapuas,2019,5.09
Kapuas,2020,5.04
Kapuas,2021,5.35
Kapuas,2022,5.52
Kapuas,2023,5.21
Kapuas,2024,5.25
Kapuas Hulu,2018,9.6
Kapuas Hulu,2019,9.62
Kapuas Hulu,2020,8.99
Kapuas Hulu,2021,8.93
Kapuas Hulu,2022,8.59
Kapuas Hulu,2023,8.16
Kapuas Hulu,2024,7.4
Karang Asem,2018,6.28
Karang Asem,2019,6.25
Karang Asem,2020,5.91
Karang Asem,2021,6.78
Karang Asem,2022,6.98
Karang Asem,2023,6.56
Karang Asem,2024,6.52
Karanganyar,2018,10.01
Karanganyar,2019,9.55
Karanganyar,2020,10.28
Karanganyar,2021,10.68
Karanganyar,2022,9.85
Karanganyar,2023,9.79
Karanganyar,2024,9.59
Karawang,2018,8.06
Karawang,2019,7.39
Karawang,2020,8.26
Karawang,2021,8.95
Karawang,2022,8.44
Karawang,2023,7.87
Karawang,2024,7.86
Karimun,2018,6.9
Karimun,2019,6.61
Karimun,2020,6.83
Karimun,2021,6.85
Karimun,2022,6.87
Karimun,2023,5.95
Karimun,2024,5.78
Karo,2018,8.67
Karo,2019,8.23
