Kabupaten/Kota,Tahun,Pengeluaran Perkapita Bahan Minuman
Bulungan,2019,5219.83
Bulungan,2020,6394.43
Bulungan,2021,6754.38
Bulungan,2022,6081.1
Bulungan,2023,6774.43
Bulungan,2024,7158.0
Bungo,2018,3511.59
Bungo,2019,3494.37
Bungo,2020,3800.35
Bungo,2021,4076.21
Bungo,2022,3917.01
Bungo,2023,3817.72
Bungo,2024,4568.0
Buol,2018,4281.22
Buol,2019,3922.17
Buol,2020,4269.51
Buol,2021,4416.65
Buol,2022,4335.4
Buol,2023,4440.53
Buol,2024,3949.0
Buru,2018,5106.25
Buru,2019,5077.58
Buru,2020,5633.26
Buru,2021,5224.85
Buru,2022,5151.62
Buru,2023,5566.47
Buru,2024,5297.0
Buru Selatan,2018,4196.26
Buru Selatan,2019,4694.68
Buru Selatan,2020,4822.0
Buru Selatan,2021,4944.36
Buru Selatan,2022,5763.64
Buru Selatan,2023,5595.56
Buru Selatan,2024,5715.0
Buton,2018,2342.4
Buton,2019,2401.19
Buton,2020,3042.05
Buton,2021,3206.25
Buton,2022,2658.97
Buton,2023,3419.48
Buton,2024,3280.0
Buton Selatan,2018,1980.43
Buton Selatan,2019,2668.26
Buton Selatan,2020,3162.68
Buton Selatan,2021,3029.15
Buton Selatan,2022,2912.72
Buton Selatan,2023,3762.03
Buton Selatan,2024,3600.0
Buton Tengah,2018,3734.09
Buton Tengah,2019,2163.72
Buton Tengah,2020,2418.35
Buton Tengah,2021,2674.27
Buton Tengah,2022,3024.8
Buton Tengah,2023,2907.8
Buton Tengah,2024,2671.0
Buton Utara,2018,2673.53
Buton Utara,2019,2721.8
Buton Utara,2020,3142.2
Buton Utara,2021,3338.23
Buton Utara,2022,2957.82
Buton Utara,2023,2951.3
Buton Utara,2024,2846.0
Ciamis,2018,3434.97
Ciamis,2019,3639.55
Ciamis,2020,3849.01
Ciamis,2021,4637.07
Ciamis,2022,4630.82
Ciamis,2023,5081.69
Ciamis,2024,5614.0
Cianjur,2018,3499.57
Cianjur,2019,3651.78
Cianjur,2020,4070.9
Cianjur,2021,4394.35
Cianjur,2022,4294.06
Cianjur,2023,5109.67
Cianjur,2024,5413.0
Cilacap,2018,3912.21
Cilacap,2019,3799.0
Cilacap,2020,3689.91
Cilacap,2021,4473.01
Cilacap,2022,4458.15
Cilacap,2023,4991.59
Cilacap,2024,4811.0
Cirebon,2018,2758.98
Cirebon,2019,3261.91
Cirebon,2020,3520.67
Cirebon,2021,3735.0
Cirebon,2022,3767.11
Cirebon,2023,4138.05
Cirebon,2024,4131.0
Dairi,2018,5367.62
Dairi,2019,5205.24
Dairi,2020,5745.7
Dairi,2021,5370.88
Dairi,2022,5036.18
Dairi,2023,5531.91
Dairi,2024,5735.0
Deiyai,2018,3746.99
Deiyai,2019,2964.59
Deiyai,2020,9028.58
Deiyai,2021,7336.14
Deiyai,2022,5965.04
Deiyai,2023,6439.37
Deiyai,2024,5869.0
Deli Serdang,2018,3468.19
Deli Serdang,2019,3754.57
Deli Serdang,2020,4142.02
Deli Serdang,2021,3709.23
Deli Serdang,2022,4578.62
Deli Serdang,2023,3814.92
Deli Serdang,2024,4143.0
Demak,2018,3574.44
Demak,2019,3843.24
Demak,2020,4278.4
Demak,2021,4592.84
Demak,2022,4894.07
Demak,2023,4841.61
Demak,2024,4598.0
Dharmasraya,2018,3590.48
Dharmasraya,2019,3458.91
Dharmasraya,2020,4237.76
Dharmasraya,2021,4260.89
Dharmasraya,2022,3925.66
Dharmasraya,2023,3998.33
Dharmasraya,2024,4528.0
Dogiyai,2018,3157.68
Dogiyai,2019,2574.42
Dogiyai,2020,2337.58
Dogiyai,2021,3378.48
Dogiyai,2022,3147.88
Dogiyai,2023,3334.99
Dogiyai,2024,8956.0
Dompu,2018,2626.58
Dompu,2019,2527.2
Dompu,2020,2732.76
Dompu,2021,3267.79
Dompu,2022,3556.13
Dompu,2023,3395.15
Dompu,2024,4027.0
Donggala,2018,3485.72
Donggala,2019,3530.29
Donggala,2020,4149.8
Donggala,2021,4134.32
Donggala,2022,4280.51
Donggala,2023,4220.5
Donggala,2024,4420.0
Empat Lawang,2018,4714.75
Empat Lawang,2019,4484.79
Empat Lawang,2020,4933.87
Empat Lawang,2021,4941.28
Empat Lawang,2022,5079.14
Empat Lawang,2023,5855.91
Empat Lawang,2024,5825.0
Ende,2018,3418.12
Ende,2019,3115.4
Ende,2020,3725.7
Ende,2021,3944.06
Ende,2022,4595.08
Ende,2023,4557.65
Ende,2024,4833.0
Enrekang,2018,4087.48
Enrekang,2019,3533.39
Enrekang,2020,3966.32
Enrekang,2021,4332.39
Enrekang,2022,4137.51
Enrekang,2023,4649.55
Enrekang,2024,4038.0
Fakfak,2018,4631.72
Fakfak,2019,5610.18
Fakfak,2020,5797.88
Fakfak,2021,7261.39
Fakfak,2022,7364.65
Fakfak,2023,6034.04
Fakfak,2024,6377.0
Flores Timur,2018,3716.6
Flores Timur,2019,4156.3
Flores Timur,2020,4426.26
Flores Timur,2021,4278.66
Flores Timur,2022,4734.3
Flores Timur,2023,4882.42
Flores Timur,2024,4962.0
Garut,2018,4301.18
Garut,2019,4002.49
Garut,2020,4941.67
Garut,2021,4501.43
Garut,2022,4810.0
Garut,2023,5044.08
Garut,2024,5472.0
Gayo Lues,2018,5388.48
Gayo Lues,2019,6685.57
Gayo Lues,2020,6648.21
Gayo Lues,2021,7257.12
Gayo Lues,2022,7590.07
Gayo Lues,2023,6533.55
Gayo Lues,2024,7336.0
Gianyar,2018,2814.6
Gianyar,2019,2832.73
Gianyar,2020,3554.8
Gianyar,2021,3569.29
Gianyar,2022,3655.6
Gianyar,2023,3828.91
Gianyar,2024,4243.0
Gorontalo,2018,2680.97
Gorontalo,2019,2500.22
Gorontalo,2020,2767.3
Gorontalo,2021,3495.45
Gorontalo,2022,3286.82
Gorontalo,2023,3293.27
Gorontalo,2024,3579.0
Gorontalo Utara,2018,3075.63
Gorontalo Utara,2019,2948.94
Gorontalo Utara,2020,3409.43
Gorontalo Utara,2021,4463.91
Gorontalo Utara,2022,4184.99
Gorontalo Utara,2023,4642.8
Gorontalo Utara,2024,4209.0
Gowa,2018,3536.4
Gowa,2019,3119.36
Gowa,2020,4132.91
Gowa,2021,4104.1
Gowa,2022,4068.74
Gowa,2023,4230.07
Gowa,2024,4310.0
Gresik,2018,3212.34
Gresik,2019,3163.48
Gresik,2020,3382.71
Gresik,2021,4111.01
Gresik,2022,3914.58
Gresik,2023,4470.59
Gresik,2024,4705.0
Grobogan,2018,3359.12
Grobogan,2019,3459.14
Grobogan,2020,3963.8
Grobogan,2021,3797.51
Grobogan,2022,4176.94
Grobogan,2023,4463.96
Grobogan,2024,4847.0
Gunung Kidul,2018,4667.19
Gunung Kidul,2019,3980.94
Gunung Kidul,2020,4397.11
Gunung Kidul,2021,5139.94
Gunung Kidul,2022,4695.74
Gunung Kidul,2023,5171.8
Gunung Kidul,2024,6013.0
Gunung Mas,2018,5428.55
Gunung Mas,2019,6153.18
Gunung Mas,2020,6422.25
Gunung Mas,2021,6565.52
Gunung Mas,2022,6335.85
Gunung Mas,2023,6253.42
Gunung Mas,2024,6400.0
Halmahera Barat,2018,5036.85
Halmahera Barat,2019,4460.69
Halmahera Barat,2020,5664.52
Halmahera Barat,2021,5654.08
Halmahera Barat,2022,5740.17
Halmahera Barat,2023,6515.0
Halmahera Barat,2024,5522.0
Halmahera Selatan,2018,5476.86
Halmahera Selatan,2019,4883.6
Halmahera Selatan,2020,4946.1
Halmahera Selatan,2021,6023.0
Halmahera Selatan,2022,5866.78
Halmahera Selatan,2023,6962.54
Halmahera Selatan,2024,6858.0
Halmahera Tengah,2018,5598.06
Halmahera Tengah,2019,6385.6
Halmahera Tengah,2020,5891.02
Halmahera Tengah,2021,5628.72
Halmahera Tengah,2022,5312.53
Halmahera Tengah,2023,6620.1
Halmahera Tengah,2024,7639.0
Halmahera Timur,2018,5704.26
Halmahera Timur,2019,4623.58
Halmahera Timur,2020,4974.29
Halmahera Timur,2021,5765.82
Halmahera Timur,2022,5911.25
Halmahera Timur,2023,5760.33
Halmahera Timur,2024,6867.0
Halmahera Utara,2018,3950.97
Halmahera Utara,2019,4047.64
Halmahera Utara,2020,4086.24
Halmahera Utara,2021,4814.13
Halmahera Utara,2022,4716.6
Halmahera Utara,2023,5413.16
Halmahera Utara,2024,5310.0
Hulu Sungai Selatan,2018,3885.02
Hulu Sungai Selatan,2019,4255.88
Hulu Sungai Selatan,2020,4700.34
Hulu Sungai Selatan,2021,4566.7
Hulu Sungai Selatan,2022,4627.23
Hulu Sungai Selatan,2023,4444.93
Hulu Sungai Selatan,2024,5157.0
Hulu Sungai Tengah,2018,4060.49
Hulu Sungai Tengah,2019,4372.13
Hulu Sungai Tengah,2020,4317.06
Hulu Sungai Tengah,2021,4569.01
Hulu Sungai Tengah,2022,4273.37
Hulu Sungai Tengah,2023,4487.2
Hulu Sungai Tengah,2024,4748.0
Hulu Sungai Utara,2018,3793.76
Hulu Sungai Utara,2019,3479.64
Hulu Sungai Utara,2020,4286.47
Hulu Sungai Utara,2021,4096.37
Hulu Sungai Utara,2022,4463.54
Hulu Sungai Utara,2023,4112.68
Hulu Sungai Utara,2024,4628.0
Humbang Hasundutan,2018,4910.55
Humbang Hasundutan,2019,5010.71
Humbang Hasundutan,2020,6082.23
Humbang Hasundutan,2021,5854.57
Humbang Hasundutan,2022,5595.27
Humbang Hasundutan,2023,6635.54
Humbang Hasundutan,2024,6878.0
Indragiri Hilir,2018,4665.86
Indragiri Hilir,2019,4677.79
Indragiri Hilir,2020,5668.17
Indragiri Hilir,2021,5716.4
Indragiri Hilir,2022,5724.2
Indragiri Hilir,2023,5876.32
Indragiri Hilir,2024,5685.0
Indragiri Hulu,2018,4090.41
Indragiri Hulu,2019,3616.74
Indragiri Hulu,2020,3940.85
Indragiri Hulu,2021,4275.56
Indragiri Hulu,2022,4202.81
Indragiri Hulu,2023,4992.5
Indragiri Hulu,2024,4886.0
Indramayu,2018,3305.14
Indramayu,2019,3596.22
Indramayu,2020,3902.65
Indramayu,2021,5018.06
Indramayu,2022,4985.36
Indramayu,2023,5407.37
Indramayu,2024,5019.0
Intan Jaya,2018,6598.75
Intan Jaya,2019,6618.23
Intan Jaya,2020,10032.13
Intan Jaya,2021,9459.01
Intan Jaya,2022,8027.16
Intan Jaya,2023,15098.73
Intan Jaya,2024,17110.0
Jayapura,2018,4653.28
Jayapura,2019,4759.8
Jayapura,2020,4050.08
Jayapura,2021,5575.38
Jayapura,2022,4776.09
Jayapura,2023,7110.17
Jayapura,2024,4571.0
Jayawijaya,2018,5381.42
Jayawijaya,2019,10943.53
Jayawijaya,2020,6731.06
Jayawijaya,2021,9415.96
Jayawijaya,2022,11252.25
Jayawijaya,2023,13665.85
Jayawijaya,2024,6817.0
Jember,2018,3352.88
Jember,2019,3099.63
Jember,2020,3881.58
Jember,2021,4028.73
Jember,2022,3854.26
Jember,2023,3989.23
Jember,2024,4291.0
Jembrana,2018,3325.22
Jembrana,2019,3204.62
Jembrana,2020,3291.82
Jembrana,2021,3495.1
Jembrana,2022,3032.04
Jembrana,2023,3624.37
Jembrana,2024,3550.0
Jeneponto,2018,3066.54
Jeneponto,2019,3001.8
Jeneponto,2020,3799.36
Jeneponto,2021,4039.7
Jeneponto,2022,3832.99
Jeneponto,2023,4183.13
Jeneponto,2024,3673.0
